Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
EASY,Two Sum,100.0,0.5577702792380397,https://leetcode.com/problems/two-sum,"Array, Hash Table",114
EASY,Best Time to Buy and Sell Stock,63.1,0.5525969088759799,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",112
MEDIUM,LRU Cache,100.0,0.4521498219341976,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",101
EASY,Valid Parentheses,65.1,0.423228386337435,https://leetcode.com/problems/valid-parentheses,"String, Stack",93
MEDIUM,Longest Substring Without Repeating Characters,87.5,0.3693614497740018,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",92
MEDIUM,Merge Intervals,87.5,0.4939525764689584,https://leetcode.com/problems/merge-intervals,"Array, Sorting",87
MEDIUM,Group Anagrams,38.7,0.7092883921583564,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",80
HARD,Trapping Rain Water,53.4,0.651022298695307,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",80
MEDIUM,Number of Islands,67.7,0.6232009446678927,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",76
MEDIUM,Longest Palindromic Substring,75.0,0.3584611319731286,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",73
MEDIUM,3Sum,87.5,0.3707108091763312,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",64
MEDIUM,Maximum Subarray,79.9,0.5209980487725024,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",53
MEDIUM,Search in Rotated Sorted Array,53.4,0.4283739714438305,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search",50
MEDIUM,Container With Most Water,60.7,0.5778283257455421,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",50
EASY,Longest Common Prefix,75.0,0.4548309746701015,https://leetcode.com/problems/longest-common-prefix,"String, Trie",49
EASY,Merge Sorted Array,75.0,0.5291953057434996,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",46
MEDIUM,Spiral Matrix,100.0,0.539398836789508,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",45
HARD,Median of Two Sorted Arrays,38.7,0.4381457870347289,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",42
HARD,Merge k Sorted Lists,49.0,0.5677420052593406,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",41
MEDIUM,Insert Delete GetRandom O(1),100.0,0.5499189489424546,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized",40
HARD,First Missing Positive,49.0,0.4108465766394882,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table",40
EASY,Merge Two Sorted Lists,61.7,0.6684088801523707,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",39
MEDIUM,Generate Parentheses,56.3,0.7713286717803378,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",38
MEDIUM,Add Two Numbers,60.7,0.4622509481999829,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",35
MEDIUM,Integer to Roman,38.7,0.6861928350336115,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String",35
EASY,Roman to Integer,87.5,0.6486637744329325,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",35
EASY,Climbing Stairs,87.5,0.535407976724555,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",35
MEDIUM,Top K Frequent Elements,57.2,0.6456599321322268,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",35
MEDIUM,Product of Array Except Self,60.7,0.6777996139428187,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum",34
MEDIUM,Jump Game,57.5,0.3947919786729132,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy",34
MEDIUM,Word Search,33.9,0.4526693801123823,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix",34
MEDIUM,Letter Combinations of a Phone Number,55.1,0.6385755061179695,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",34
MEDIUM,Meeting Rooms II,58.7,0.5214164447683243,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",33
MEDIUM,Rotate Image,100.0,0.7790173789665304,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",33
HARD,Text Justification,33.9,0.4814993566410409,https://leetcode.com/problems/text-justification,"Array, String, Simulation",33
MEDIUM,Kth Largest Element in an Array,87.5,0.6797703802112421,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",33
EASY,Palindrome Number,85.8,0.5922453952673293,https://leetcode.com/problems/palindrome-number,Math,32
MEDIUM,Sort Colors,49.0,0.675831142046278,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting",31
MEDIUM,Next Permutation,48.3,0.4305775328017951,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",31
MEDIUM,Longest Consecutive Sequence,42.2,0.4704082270068146,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find",30
HARD,Sliding Window Maximum,73.1,0.4760419873658764,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",30
MEDIUM,Find First and Last Position of Element in Sorted Array,55.3,0.4682879632615302,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search",30
EASY,Reverse Linked List,48.3,0.7920658147104805,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",30
MEDIUM,House Robber,55.3,0.5230498170963667,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming",30
HARD,Minimum Window Substring,42.9,0.4535074763823223,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window",30
EASY,Valid Anagram,65.1,0.6666090586972462,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",30
MEDIUM,Valid Sudoku,49.0,0.6227675793740958,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix",30
MEDIUM,Jump Game II,50.7,0.415032966531176,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy",30
MEDIUM,Decode String,65.9,0.6115269783398165,https://leetcode.com/problems/decode-string,"String, Stack, Recursion",29
MEDIUM,Coin Change,55.3,0.4649549755120981,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search",29
HARD,Reverse Nodes in k-Group,42.9,0.630436472551844,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion",28
MEDIUM,Best Time to Buy and Sell Stock II,55.9,0.6950029224907471,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy",28
MEDIUM,Course Schedule,85.6,0.492343272648647,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",28
EASY,Valid Palindrome,48.3,0.5096352873238165,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String",27
MEDIUM,Combination Sum,17.4,0.7467468656021409,https://leetcode.com/problems/combination-sum,"Array, Backtracking",27
MEDIUM,Min Stack,32.0,0.5644513974486727,https://leetcode.com/problems/min-stack,"Stack, Design",26
MEDIUM,Edit Distance,48.3,0.5878980645167777,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming",26
EASY,Move Zeroes,55.9,0.6280404117101285,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers",26
MEDIUM,"Pow(x, n)",38.7,0.3702320169895338,https://leetcode.com/problems/powx-n,"Math, Recursion",26
MEDIUM,Word Break,97.8,0.4827380427522254,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",25
MEDIUM,Subarray Sum Equals K,87.5,0.4547633179081555,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",25
MEDIUM,Rotting Oranges,53.9,0.5661842002497466,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix",25
HARD,Largest Rectangle in Histogram,42.9,0.4737769446459488,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack",25
MEDIUM,Permutations,52.3,0.8066012553007272,https://leetcode.com/problems/permutations,"Array, Backtracking",24
EASY,Remove Duplicates from Sorted Array,60.7,0.6035555860093221,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",24
HARD,Find Median from Data Stream,55.9,0.5327803532552068,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",23
MEDIUM,Koko Eating Bananas,55.3,0.4906721877084858,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search",23
MEDIUM,Course Schedule II,79.0,0.5342347717848052,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",23
MEDIUM,Zigzag Conversion,40.3,0.5160678115303926,https://leetcode.com/problems/zigzag-conversion,String,22
HARD,Binary Tree Maximum Path Sum,67.8,0.4122432508651943,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",22
MEDIUM,Reverse Integer,75.0,0.3030894236484883,https://leetcode.com/problems/reverse-integer,Math,22
HARD,Regular Expression Matching,70.4,0.2928011632862837,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion",22
MEDIUM,Simplify Path,24.4,0.4785434600375143,https://leetcode.com/problems/simplify-path,"String, Stack",22
MEDIUM,Rotate Array,84.0,0.4302138810363553,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers",22
MEDIUM,Decode Ways,33.9,0.3653098286175434,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming",21
MEDIUM,Validate Binary Search Tree,29.7,0.3438040355108531,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",21
MEDIUM,Time Based Key-Value Store,36.3,0.4936626151018991,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design",21
MEDIUM,Set Matrix Zeroes,59.7,0.6070884864800216,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix",20
MEDIUM,Basic Calculator II,38.7,0.4581138691872612,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack",20
