Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
MEDIUM,LRU Cache,92.5,0.4521454488123034,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",4
MEDIUM,Rotate Image,64.0,0.7790164518819447,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",4
EASY,Best Time to Buy and Sell Stock,92.5,0.5525965868759138,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",4
EASY,Valid Parentheses,68.7,0.4232281667216221,https://leetcode.com/problems/valid-parentheses,"String, Stack",4
EASY,Two Sum,100.0,0.5577698896587009,https://leetcode.com/problems/two-sum,"Array, Hash Table",3
MEDIUM,Group Anagrams,72.7,0.7092881405821401,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",3
MEDIUM,Maximum Subarray,58.2,0.5209978310902755,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",3
EASY,Move Zeroes,58.2,0.6280400947352507,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers",3
MEDIUM,Container With Most Water,50.9,0.5778282574410597,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",3
MEDIUM,Next Permutation,64.0,0.4305773671839413,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",3
MEDIUM,Search in Rotated Sorted Array,64.0,0.4283722138743466,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search",3
HARD,Sliding Window Maximum,50.9,0.4760415274726645,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",3
MEDIUM,Best Time to Buy and Sell Stock II,64.0,0.6950023404506479,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy",3
EASY,Roman to Integer,58.2,0.6486626948713667,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",3
HARD,Largest Rectangle in Histogram,40.6,0.4737765317407914,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack",3
MEDIUM,Subarray Sum Equals K,40.6,0.4547621523795086,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",3
HARD,Median of Two Sorted Arrays,68.7,0.4381459000864632,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",3
MEDIUM,Merge Intervals,72.7,0.4939526774846352,https://leetcode.com/problems/merge-intervals,"Array, Sorting",3
HARD,Trapping Rain Water,79.2,0.6510192881379091,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",3
MEDIUM,Longest Substring Without Repeating Characters,79.2,0.3693616862103371,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",3
MEDIUM,Add Two Numbers,79.2,0.4622507231988566,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",3
MEDIUM,Longest Palindromic Substring,86.7,0.3584611475412551,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",3
HARD,Merge k Sorted Lists,72.7,0.567741907864408,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",3
MEDIUM,Number of Islands,92.5,0.6231991397851002,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",3
EASY,Majority Element,50.9,0.6574028018936169,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting",2
MEDIUM,Find Peak Element,49.6,0.4650924637222962,https://leetcode.com/problems/find-peak-element,"Array, Binary Search",2
MEDIUM,Kth Largest Element in an Array,58.2,0.6797700117160972,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",2
HARD,Maximal Rectangle,39.0,0.5370845822665518,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",2
MEDIUM,Number of Provinces,50.9,0.6865500056031655,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph",2
MEDIUM,Reverse Integer,50.9,0.3030891688448359,https://leetcode.com/problems/reverse-integer,Math,2
EASY,Single Number,50.9,0.7596882403268375,https://leetcode.com/problems/single-number,"Array, Bit Manipulation",2
EASY,Pascal's Triangle,50.9,0.770215491719448,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming",2
EASY,Next Greater Element I,50.9,0.7451247376157817,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack",2
MEDIUM,Product of Array Except Self,50.9,0.6777994606301018,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum",2
MEDIUM,3Sum,56.7,0.3707094730496599,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",2
EASY,Search Insert Position,30.8,0.4901241638473952,https://leetcode.com/problems/search-insert-position,"Array, Binary Search",2
MEDIUM,Binary Tree Level Order Traversal,40.6,0.7059658947038693,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree",2
MEDIUM,Valid Sudoku,50.9,0.6227677721538815,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix",2
EASY,Climbing Stairs,30.8,0.5354070673548961,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",2
MEDIUM,Course Schedule,50.9,0.4923425308395746,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",2
MEDIUM,Maximize Distance to Closest Person,50.9,0.489872250307419,https://leetcode.com/problems/maximize-distance-to-closest-person,Array,2
