Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
EASY,Two Sum,100.0,0.5577698896587009,https://leetcode.com/problems/two-sum,"Array, Hash Table",8
EASY,Valid Parentheses,73.6,0.4232281667216221,https://leetcode.com/problems/valid-parentheses,"String, Stack",8
MEDIUM,Maximum Subarray,73.1,0.5209978310902755,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",7
MEDIUM,Number of Islands,71.9,0.623199409488447,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",6
MEDIUM,Rotate Image,58.9,0.7790164518819447,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",6
MEDIUM,Spiral Matrix,60.5,0.5393973501075863,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",6
MEDIUM,Merge Intervals,80.5,0.4939526774846352,https://leetcode.com/problems/merge-intervals,"Array, Sorting",6
MEDIUM,Longest Substring Without Repeating Characters,82.5,0.3693616682204484,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",6
MEDIUM,Add Two Numbers,77.7,0.4622507658063209,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",5
MEDIUM,String to Integer (atoi),44.2,0.1922942349527772,https://leetcode.com/problems/string-to-integer-atoi,String,5
MEDIUM,LRU Cache,100.0,0.4521455851903244,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",5
MEDIUM,Letter Combinations of a Phone Number,55.1,0.6385756647080152,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",5
HARD,Trapping Rain Water,87.4,0.6510192881379091,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",5
HARD,Merge k Sorted Lists,77.3,0.567741907864408,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",5
EASY,Merge Sorted Array,69.9,0.5291952052651709,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",5
MEDIUM,Longest Palindromic Substring,70.4,0.3584611475412551,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",5
MEDIUM,Search in Rotated Sorted Array,73.1,0.4283722138743466,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search",5
MEDIUM,Group Anagrams,79.9,0.7092881943320976,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",5
MEDIUM,Find First and Last Position of Element in Sorted Array,60.5,0.4682873183580639,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search",4
EASY,Reverse Linked List,58.9,0.7920654119580827,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",4
