Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
EASY,Valid Parentheses,77.1,0.4232281667216221,https://leetcode.com/problems/valid-parentheses,"String, Stack",11
EASY,Two Sum,88.0,0.5577702651795842,https://leetcode.com/problems/two-sum,"Array, Hash Table",10
MEDIUM,3Sum,88.0,0.3707108091763312,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",10
MEDIUM,Longest Substring Without Repeating Characters,88.0,0.3693614497740018,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",10
MEDIUM,Merge Intervals,73.2,0.4939526774846352,https://leetcode.com/problems/merge-intervals,"Array, Sorting",9
EASY,Climbing Stairs,88.0,0.535407976724555,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",9
EASY,Best Time to Buy and Sell Stock,100.0,0.5526330377484631,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",8
HARD,Trapping Rain Water,84.5,0.6510192881379091,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",8
EASY,Merge Sorted Array,82.8,0.5291952052651709,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",8
MEDIUM,Rotate Image,100.0,0.7790173789665304,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",8
MEDIUM,Group Anagrams,76.9,0.7092880631912374,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",8
MEDIUM,Add Two Numbers,76.3,0.4622507658063209,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",8
MEDIUM,Maximum Subarray,69.1,0.5209977771112393,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",8
EASY,Remove Duplicates from Sorted Array,61.5,0.6035551112882038,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",7
MEDIUM,Number of Islands,47.6,0.6231996817686392,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",7
MEDIUM,LRU Cache,63.3,0.4521462265150519,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",7
MEDIUM,Reverse Integer,65.3,0.3030891688448359,https://leetcode.com/problems/reverse-integer,Math,7
EASY,Palindrome Number,67.4,0.5922455404045137,https://leetcode.com/problems/palindrome-number,Math,7
EASY,Merge Two Sorted Lists,64.3,0.6684091757223755,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",6
EASY,Reverse Linked List,47.6,0.7920656598058967,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",6
MEDIUM,Spiral Matrix,100.0,0.539398836789508,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",6
MEDIUM,Letter Combinations of a Phone Number,68.3,0.6385756647080152,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",6
HARD,Reverse Nodes in k-Group,57.1,0.6304374335039493,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion",6
EASY,Sqrt(x),51.1,0.4037179972261584,https://leetcode.com/problems/sqrtx,"Math, Binary Search",5
MEDIUM,Reverse Linked List II,46.3,0.4959171394576541,https://leetcode.com/problems/reverse-linked-list-ii,Linked List,5
HARD,N-Queens,52.7,0.7281704967757537,https://leetcode.com/problems/n-queens,"Array, Backtracking",5
HARD,First Missing Positive,57.4,0.4108465766394882,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table",5
MEDIUM,Swap Nodes in Pairs,46.3,0.6720136828647639,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion",5
MEDIUM,Sort Colors,54.5,0.6758312948649591,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting",5
MEDIUM,Remove Nth Node From End of List,55.6,0.4896103052563428,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers",5
MEDIUM,Set Matrix Zeroes,56.5,0.60708786580102,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix",5
MEDIUM,Rotate List,42.6,0.3994477271612808,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers",5
MEDIUM,4Sum,56.8,0.3821902011379304,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting",5
MEDIUM,Restore IP Addresses,25.4,0.531583393083398,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking",5
MEDIUM,Word Search,59.1,0.4526691452685235,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix",5
MEDIUM,Generate Parentheses,67.2,0.7713286717803378,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",5
EASY,Longest Common Prefix,70.9,0.4548305505260665,https://leetcode.com/problems/longest-common-prefix,"String, Trie",5
MEDIUM,Longest Palindromic Substring,76.9,0.3584611475412551,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",5
MEDIUM,Jump Game,68.5,0.3947920375919359,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy",5
HARD,Merge k Sorted Lists,66.5,0.567741907864408,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",5
HARD,Median of Two Sorted Arrays,74.8,0.4381459000864632,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",5
MEDIUM,Valid Sudoku,60.1,0.6227677721538815,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix",5
MEDIUM,Interleaving String,23.5,0.4217918033968859,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming",4
HARD,Maximal Rectangle,31.5,0.5370845822665518,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",4
MEDIUM,Find First and Last Position of Element in Sorted Array,59.3,0.4682873183580639,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search",4
EASY,Add Binary,45.8,0.556770003334334,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation",4
MEDIUM,Kth Largest Element in an Array,88.0,0.6797703802112421,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",4
MEDIUM,Insert Interval,42.6,0.4347361196230839,https://leetcode.com/problems/insert-interval,Array,4
MEDIUM,Partition List,32.7,0.5898677373641946,https://leetcode.com/problems/partition-list,"Linked List, Two Pointers",4
EASY,Number of 1 Bits,88.0,0.7450480575885099,https://leetcode.com/problems/number-of-1-bits,"Divide and Conquer, Bit Manipulation",4
