Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
MEDIUM,LRU Cache,92.5,0.4521454488123034,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",13
MEDIUM,Longest Substring Without Repeating Characters,79.2,0.3693616862103371,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",10
EASY,Two Sum,100.0,0.5577698896587009,https://leetcode.com/problems/two-sum,"Array, Hash Table",9
MEDIUM,Merge Intervals,72.7,0.4939526774846352,https://leetcode.com/problems/merge-intervals,"Array, Sorting",8
MEDIUM,Number of Islands,92.5,0.6231991397851002,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",8
EASY,Best Time to Buy and Sell Stock,100.0,0.5525959754111676,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",8
MEDIUM,Koko Eating Bananas,79.2,0.4906727853934328,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search",7
HARD,Trapping Rain Water,79.2,0.6510192881379091,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",7
EASY,Valid Parentheses,68.7,0.4232281667216221,https://leetcode.com/problems/valid-parentheses,"String, Stack",7
MEDIUM,Container With Most Water,50.9,0.5778282574410597,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",7
MEDIUM,Maximum Subarray,58.2,0.5209978310902755,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",7
MEDIUM,Meeting Rooms II,68.7,0.521416981510797,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",7
MEDIUM,Longest Palindromic Substring,86.7,0.3584611475412551,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",6
HARD,Minimum Window Substring,68.7,0.4535073359144813,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window",6
MEDIUM,Rotate Image,64.0,0.7790164518819447,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",6
MEDIUM,Lowest Common Ancestor of a Binary Tree,72.7,0.6675499347216417,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree",6
HARD,Median of Two Sorted Arrays,68.7,0.4381459000864632,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",6
MEDIUM,Next Permutation,64.0,0.4305773671839413,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",5
MEDIUM,Search in Rotated Sorted Array,64.0,0.4283722138743466,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search",5
MEDIUM,Course Schedule,50.9,0.4923425308395746,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",5
MEDIUM,Decode String,40.6,0.6115249906697672,https://leetcode.com/problems/decode-string,"String, Stack, Recursion",5
MEDIUM,Best Time to Buy and Sell Stock II,64.0,0.6950023404506479,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy",5
