Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
MEDIUM,Merge Intervals,78.0,0.4939526774846352,https://leetcode.com/problems/merge-intervals,"Array, Sorting",27
MEDIUM,LRU Cache,80.8,0.4521456257537392,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",25
MEDIUM,Number of Islands,86.3,0.6231991397851002,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",20
EASY,Two Sum,90.2,0.5577705216460996,https://leetcode.com/problems/two-sum,"Array, Hash Table",20
HARD,Trapping Rain Water,83.6,0.6510192881379091,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",19
MEDIUM,Longest Substring Without Repeating Characters,79.8,0.3693616862103371,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",17
EASY,Best Time to Buy and Sell Stock,100.0,0.5525962294861477,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",15
MEDIUM,Group Anagrams,70.4,0.7092881405821401,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",15
MEDIUM,Maximum Subarray,73.0,0.5209978310902755,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",14
MEDIUM,Course Schedule II,68.5,0.5342350291611208,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",13
EASY,Valid Parentheses,75.3,0.4232281667216221,https://leetcode.com/problems/valid-parentheses,"String, Stack",12
MEDIUM,Search in Rotated Sorted Array,61.5,0.4283722138743466,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search",12
MEDIUM,Meeting Rooms II,65.3,0.521416981510797,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",11
HARD,Word Ladder,62.8,0.4281180881873274,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search",11
MEDIUM,Top K Frequent Elements,92.0,0.6456596965737327,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",11
MEDIUM,Course Schedule,71.3,0.4923425308395746,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",11
MEDIUM,Kth Largest Element in an Array,55.0,0.6797700117160972,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",10
MEDIUM,Container With Most Water,61.5,0.5778282574410597,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",10
EASY,Merge Sorted Array,60.0,0.5291952052651709,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",10
MEDIUM,Spiral Matrix,53.0,0.5393973501075863,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",10
MEDIUM,3Sum,100.0,0.3707096441937613,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",10
MEDIUM,Rotate Image,56.8,0.7790164518819447,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",9
HARD,Median of Two Sorted Arrays,71.3,0.4381459000864632,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",9
MEDIUM,Decode String,34.1,0.6115249906697672,https://leetcode.com/problems/decode-string,"String, Stack, Recursion",9
MEDIUM,Longest Palindromic Substring,68.5,0.3584611475412551,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",9
MEDIUM,Basic Calculator II,34.1,0.4581129812287864,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack",9
MEDIUM,Longest Consecutive Sequence,58.5,0.4704082801866521,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find",9
MEDIUM,Time Based Key-Value Store,63.9,0.4936630134309002,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design",9
HARD,Minimum Window Substring,54.8,0.4535074763823223,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window",9
HARD,Merge k Sorted Lists,73.0,0.567741907864408,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",9
MEDIUM,Find First and Last Position of Element in Sorted Array,57.2,0.4682873183580639,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search",9
MEDIUM,Subarray Sum Equals K,55.0,0.4547621523795086,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",9
MEDIUM,Product of Array Except Self,66.4,0.6777994606301018,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum",9
EASY,Reverse Linked List,57.2,0.7920654119580827,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",9
EASY,Longest Common Prefix,50.8,0.4548305505260665,https://leetcode.com/problems/longest-common-prefix,"String, Trie",8
EASY,Valid Palindrome,28.4,0.5096356084225621,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String",8
HARD,Basic Calculator,53.0,0.4558962794405194,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion",8
MEDIUM,Next Permutation,53.0,0.4305773671839413,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",8
HARD,Sliding Window Maximum,50.8,0.4760415274726645,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",8
MEDIUM,"Pow(x, n)",42.4,0.3702318823521848,https://leetcode.com/problems/powx-n,"Math, Recursion",8
MEDIUM,Generate Parentheses,66.4,0.7713286717803378,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",8
MEDIUM,Koko Eating Bananas,70.4,0.4906727853934328,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search",8
MEDIUM,Insert Delete GetRandom O(1),100.0,0.5499189489424546,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized",8
