Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
MEDIUM,Merge Intervals,80.5,0.4939526774846352,https://leetcode.com/problems/merge-intervals,"Array, Sorting",39
EASY,Two Sum,83.2,0.5577705039146774,https://leetcode.com/problems/two-sum,"Array, Hash Table",39
MEDIUM,LRU Cache,91.1,0.4521456257537392,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",39
MEDIUM,Longest Substring Without Repeating Characters,82.5,0.3693616682204484,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",35
EASY,Best Time to Buy and Sell Stock,87.1,0.5525962294861477,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",31
MEDIUM,Number of Islands,87.1,0.6232001096557939,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",27
HARD,Trapping Rain Water,87.4,0.6510192881379091,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",25
EASY,Valid Parentheses,73.6,0.4232281667216221,https://leetcode.com/problems/valid-parentheses,"String, Stack",24
MEDIUM,Group Anagrams,79.9,0.7092881943320976,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",23
MEDIUM,Spiral Matrix,60.5,0.5393973501075863,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",21
MEDIUM,Longest Palindromic Substring,70.4,0.3584611475412551,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",20
MEDIUM,Maximum Subarray,100.0,0.5209980487725024,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",18
MEDIUM,Search in Rotated Sorted Array,73.1,0.4283722138743466,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search",18
MEDIUM,Course Schedule II,77.4,0.5342349766485144,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",17
HARD,Merge k Sorted Lists,77.3,0.567741907864408,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",16
MEDIUM,Word Search,69.9,0.4526691452685235,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix",16
HARD,Word Ladder,78.7,0.4281182673737007,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search",16
MEDIUM,Course Schedule,71.0,0.492343272648647,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",16
MEDIUM,3Sum,76.9,0.3707096441937613,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",16
MEDIUM,Rotate Image,58.9,0.7790164518819447,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",15
MEDIUM,Find First and Last Position of Element in Sorted Array,100.0,0.4682890975568932,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search",15
EASY,Merge Sorted Array,69.9,0.5291952052651709,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",14
MEDIUM,Time Based Key-Value Store,61.9,0.4936638835565728,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design",14
MEDIUM,Generate Parentheses,68.4,0.7713286717803378,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",14
MEDIUM,Longest Consecutive Sequence,66.1,0.4704082801866521,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find",14
MEDIUM,Meeting Rooms II,47.7,0.5214167237275021,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",14
HARD,Text Justification,100.0,0.4814993566410409,https://leetcode.com/problems/text-justification,"Array, String, Simulation",14
MEDIUM,Container With Most Water,63.5,0.5778282574410597,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",14
EASY,Longest Common Prefix,64.8,0.4548305505260665,https://leetcode.com/problems/longest-common-prefix,"String, Trie",14
HARD,Minimum Window Substring,78.7,0.4535074763823223,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window",14
EASY,Merge Two Sorted Lists,60.5,0.6684091757223755,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",13
MEDIUM,Add Two Numbers,77.7,0.4622507658063209,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",13
HARD,Binary Tree Maximum Path Sum,56.1,0.4122427095336609,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",13
MEDIUM,Rotting Oranges,78.7,0.566184675573941,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix",13
MEDIUM,Product of Array Except Self,78.7,0.6777995792305304,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum",12
MEDIUM,Top K Frequent Elements,91.1,0.6456596965737327,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",12
EASY,Roman to Integer,49.0,0.6486626948713667,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",12
MEDIUM,Combination Sum,61.2,0.7467468656021409,https://leetcode.com/problems/combination-sum,"Array, Backtracking",12
MEDIUM,Set Matrix Zeroes,50.3,0.6070877520170048,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix",12
MEDIUM,Valid Sudoku,58.0,0.6227677721538815,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix",12
MEDIUM,Decode String,47.7,0.6115249906697672,https://leetcode.com/problems/decode-string,"String, Stack, Recursion",12
HARD,Median of Two Sorted Arrays,100.0,0.4381465178962261,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",12
MEDIUM,Next Permutation,57.0,0.4305773671839413,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",11
MEDIUM,Letter Combinations of a Phone Number,55.1,0.6385756647080152,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",11
MEDIUM,Zigzag Conversion,47.5,0.5160676713980508,https://leetcode.com/problems/zigzag-conversion,String,11
MEDIUM,Koko Eating Bananas,87.1,0.4906724004144251,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search",11
HARD,Regular Expression Matching,45.9,0.2928013101016923,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion",11
MEDIUM,Insert Delete GetRandom O(1),100.0,0.5499189489424546,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized",11
MEDIUM,Design Hit Counter,71.4,0.6920824458148753,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream",11
EASY,Majority Element,87.1,0.657403169331404,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting",11
MEDIUM,Subarray Sum Equals K,66.3,0.4547620378638278,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",11
EASY,Reverse Linked List,58.9,0.7920654119580827,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",11
MEDIUM,House Robber,38.9,0.5230495865734553,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming",11
EASY,Valid Anagram,74.8,0.6666089667345674,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",11
MEDIUM,String to Integer (atoi),44.2,0.1922942349527772,https://leetcode.com/problems/string-to-integer-atoi,String,10
MEDIUM,Jump Game,69.4,0.3947920375919359,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy",10
HARD,Find Median from Data Stream,61.9,0.5327803189283605,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",10
EASY,Move Zeroes,100.0,0.6280403369085903,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers",10
EASY,Remove Duplicates from Sorted Array,61.3,0.6035551112882038,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",10
MEDIUM,"Pow(x, n)",54.0,0.3702318823521848,https://leetcode.com/problems/powx-n,"Math, Recursion",10
HARD,Basic Calculator,80.2,0.4558952441079352,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion",10
MEDIUM,Integer to Roman,78.7,0.6861925885666443,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String",10
MEDIUM,Kth Largest Element in an Array,69.3,0.6797700833982673,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",10
EASY,Palindrome Number,58.9,0.5922455404045137,https://leetcode.com/problems/palindrome-number,Math,10
MEDIUM,String Compression,63.5,0.580915717497265,https://leetcode.com/problems/string-compression,"Two Pointers, String",10
MEDIUM,Basic Calculator II,38.9,0.4581129812287864,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack",10
MEDIUM,Remove Nth Node From End of List,42.3,0.4896103052563428,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers",9
MEDIUM,Reverse Integer,58.9,0.3030891688448359,https://leetcode.com/problems/reverse-integer,Math,9
MEDIUM,Simplify Path,49.0,0.4785432317744196,https://leetcode.com/problems/simplify-path,"String, Stack",9
HARD,Sliding Window Maximum,93.3,0.4760417141782024,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",9
HARD,Word Search II,43.6,0.3732633211647155,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix",9
MEDIUM,Coin Change,89.3,0.4649550446279863,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search",9
MEDIUM,Min Stack,74.2,0.5644508432974008,https://leetcode.com/problems/min-stack,"Stack, Design",9
MEDIUM,Copy List with Random Pointer,71.8,0.6053669280147949,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List",8
MEDIUM,Asteroid Collision,100.0,0.4550073716153288,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation",8
EASY,Find the Index of the First Occurrence in a String,47.5,0.4497159268881767,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching",8
EASY,Climbing Stairs,87.1,0.5354071218159873,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",8
MEDIUM,4Sum,52.8,0.3821902011379304,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting",8
HARD,Largest Rectangle in Histogram,52.8,0.4737765317407914,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack",8
MEDIUM,Minimum Path Sum,42.3,0.664814934885504,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix",8
MEDIUM,Gas Station,42.3,0.4638361778165814,https://leetcode.com/problems/gas-station,"Array, Greedy",8
MEDIUM,Word Break,78.3,0.4827377619034214,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",8
MEDIUM,Find Peak Element,63.5,0.4650922426070062,https://leetcode.com/problems/find-peak-element,"Array, Binary Search",8
MEDIUM,Best Time to Buy and Sell Stock II,58.0,0.6950023404506479,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy",8
MEDIUM,Flatten Nested List Iterator,54.0,0.6522839525510098,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator",8
EASY,Sqrt(x),45.6,0.4037178718652037,https://leetcode.com/problems/sqrtx,"Math, Binary Search",8
MEDIUM,Lowest Common Ancestor of a Binary Tree,47.7,0.6675499347216417,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree",8
HARD,Shortest Distance from All Buildings,95.8,0.443752767487823,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix",8
MEDIUM,Search a 2D Matrix,44.2,0.5228955161093151,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix",7
MEDIUM,Task Scheduler,47.7,0.6153909539748507,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting",7
MEDIUM,Longest Increasing Subsequence,43.7,0.5780834572811812,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming",7
EASY,Happy Number,47.7,0.5807264910173595,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers",7
EASY,Linked List Cycle,28.9,0.5257062260569889,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers",7
MEDIUM,Binary Tree Right Side View,34.2,0.6704251629092013,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",7
MEDIUM,Rotate Array,100.0,0.4302138779169178,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers",7
HARD,LFU Cache,56.3,0.4660898637811462,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List",7
MEDIUM,Palindromic Substrings,91.2,0.7167859571435372,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming",7
EASY,Isomorphic Strings,40.6,0.4685795790862557,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String",7
EASY,Valid Palindrome,40.2,0.5096357249551178,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String",7
MEDIUM,Edit Distance,61.9,0.5878980645167777,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming",7
MEDIUM,Daily Temperatures,94.4,0.6736502832589849,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack",7
HARD,First Missing Positive,58.0,0.4108465766394882,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table",7
HARD,N-Queens,49.0,0.7281704967757537,https://leetcode.com/problems/n-queens,"Array, Backtracking",7
MEDIUM,Permutations,50.3,0.8066011364163758,https://leetcode.com/problems/permutations,"Array, Backtracking",7
MEDIUM,Sort Colors,55.1,0.6758312948649591,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting",7
MEDIUM,Binary Tree Zigzag Level Order Traversal,54.0,0.6168283891746636,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree",7
MEDIUM,Evaluate Division,76.1,0.6314695091079937,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path",6
HARD,Making A Large Island,77.4,0.5489029735459547,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",6
MEDIUM,Clone Graph,37.9,0.6238574692944873,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph",6
MEDIUM,Second Highest Salary,64.9,0.4386517852577502,https://leetcode.com/problems/second-highest-salary,Database,6
MEDIUM,Maximize Distance to Closest Person,78.8,0.4898732183487074,https://leetcode.com/problems/maximize-distance-to-closest-person,Array,6
MEDIUM,Subsets,56.1,0.808795565390318,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation",6
MEDIUM,Design Circular Queue,66.3,0.5264418953615425,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue",6
MEDIUM,Implement Trie (Prefix Tree),58.9,0.679347462282349,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie",6
HARD,Wildcard Matching,24.7,0.2989835093068089,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion",6
MEDIUM,Decode Ways,78.7,0.3653098286175434,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming",6
MEDIUM,3Sum Closest,19.6,0.468869600214817,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting",6
