Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
MEDIUM,Rotate Image,56.8,0.7790164518819447,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",5
MEDIUM,Number of Islands,86.3,0.6231991397851002,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",5
HARD,Trapping Rain Water,83.6,0.6510192881379091,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",5
EASY,Merge Sorted Array,60.0,0.5291952052651709,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",5
MEDIUM,Maximum Subarray,73.0,0.5209978310902755,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",5
MEDIUM,House Robber,66.4,0.5230496880795729,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming",5
MEDIUM,Longest Palindromic Substring,68.5,0.3584611475412551,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",5
EASY,Two Sum,100.0,0.5577698896587009,https://leetcode.com/problems/two-sum,"Array, Hash Table",4
MEDIUM,Letter Combinations of a Phone Number,34.1,0.6385756647080152,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",4
EASY,Reverse Linked List,57.2,0.7920654119580827,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",4
EASY,Merge Two Sorted Lists,58.5,0.6684091757223755,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",4
MEDIUM,Spiral Matrix,53.0,0.5393973501075863,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",4
EASY,Majority Element,53.0,0.6574028018936169,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting",4
MEDIUM,LRU Cache,92.3,0.4521454488123034,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",4
MEDIUM,Kth Largest Element in an Array,55.0,0.6797700117160972,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",4
MEDIUM,Product of Array Except Self,66.4,0.6777994606301018,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum",4
HARD,Merge k Sorted Lists,73.0,0.567741907864408,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",4
MEDIUM,Group Anagrams,70.4,0.7092881405821401,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",4
EASY,Best Time to Buy and Sell Stock,84.1,0.5525965868759138,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",4
MEDIUM,Longest Substring Without Repeating Characters,79.8,0.3693616862103371,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",4
MEDIUM,Merge Intervals,78.0,0.4939526774846352,https://leetcode.com/problems/merge-intervals,"Array, Sorting",4
EASY,Valid Parentheses,75.3,0.4232281667216221,https://leetcode.com/problems/valid-parentheses,"String, Stack",4
MEDIUM,Add Two Numbers,73.8,0.4622507658063209,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",4
MEDIUM,Reverse Integer,55.0,0.3030891688448359,https://leetcode.com/problems/reverse-integer,Math,4
MEDIUM,Course Schedule,71.3,0.4923425308395746,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",4
EASY,Single Number,48.4,0.7596882403268375,https://leetcode.com/problems/single-number,"Array, Bit Manipulation",3
EASY,Move Zeroes,48.4,0.6280400947352507,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers",3
MEDIUM,Subarray Sum Equals K,55.0,0.4547621523795086,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",3
MEDIUM,Sort Colors,42.4,0.6758312948649591,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting",3
EASY,Sqrt(x),34.1,0.4037179972261584,https://leetcode.com/problems/sqrtx,"Math, Binary Search",3
EASY,Create Hello World Function,48.4,0.8212977812647828,https://leetcode.com/problems/create-hello-world-function,,3
HARD,Basic Calculator,53.0,0.4558962794405194,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion",3
MEDIUM,Rotate Array,34.1,0.4302137279999349,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers",3
MEDIUM,Next Permutation,53.0,0.4305773671839413,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",3
EASY,Remove Duplicates from Sorted Array,38.6,0.6035551112882038,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",3
HARD,Serialize and Deserialize Binary Tree,50.8,0.5896945647013689,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",3
EASY,Longest Common Prefix,50.8,0.4548305505260665,https://leetcode.com/problems/longest-common-prefix,"String, Trie",3
HARD,Sliding Window Maximum,50.8,0.4760415274726645,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",3
MEDIUM,4Sum,42.4,0.3821902011379304,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting",3
MEDIUM,Word Break,50.8,0.4827376415593891,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",3
EASY,Valid Palindrome,28.4,0.5096356084225621,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String",3
MEDIUM,Basic Calculator II,34.1,0.4581129812287864,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack",3
EASY,Valid Anagram,48.4,0.6666089667345674,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",3
EASY,Roman to Integer,45.6,0.6486626948713667,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",3
MEDIUM,"Pow(x, n)",42.4,0.3702318823521848,https://leetcode.com/problems/powx-n,"Math, Recursion",3
HARD,Word Ladder,62.8,0.4281180881873274,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search",3
EASY,Palindrome Number,60.0,0.5922455404045137,https://leetcode.com/problems/palindrome-number,Math,3
MEDIUM,3Sum,65.3,0.3707095392707933,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",3
EASY,Climbing Stairs,62.8,0.5354071346208594,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",3
MEDIUM,Generate Parentheses,66.4,0.7713286717803378,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",3
MEDIUM,Container With Most Water,61.5,0.5778282574410597,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",3
MEDIUM,Koko Eating Bananas,70.4,0.4906727853934328,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search",3
MEDIUM,Search in Rotated Sorted Array,61.5,0.4283722138743466,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search",3
EASY,Happy Number,47.9,0.5807264910173595,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers",3
MEDIUM,Longest Consecutive Sequence,58.5,0.4704082801866521,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find",3
HARD,Largest Rectangle in Histogram,42.4,0.4737765317407914,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack",3
MEDIUM,Permutations,47.9,0.8066011364163758,https://leetcode.com/problems/permutations,"Array, Backtracking",3
HARD,Median of Two Sorted Arrays,71.3,0.4381459000864632,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",3
MEDIUM,Meeting Rooms II,65.3,0.521416981510797,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",3
EASY,Pascal's Triangle,38.6,0.770215491719448,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming",2
MEDIUM,Single Element in a Sorted Array,41.4,0.5920694527750138,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search",2
HARD,First Missing Positive,48.9,0.4108465766394882,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table",2
MEDIUM,Subsets,34.1,0.808795565390318,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation",2
EASY,Search Insert Position,41.4,0.4901241638473952,https://leetcode.com/problems/search-insert-position,"Array, Binary Search",2
