Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
EASY,Two Sum,100.0,0.5577702792380397,https://leetcode.com/problems/two-sum,"Array, Hash Table",13
EASY,Valid Parentheses,77.7,0.4232281667216221,https://leetcode.com/problems/valid-parentheses,"String, Stack",12
MEDIUM,Longest Substring Without Repeating Characters,87.5,0.3693614497740018,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",11
MEDIUM,Merge Intervals,87.5,0.4939525764689584,https://leetcode.com/problems/merge-intervals,"Array, Sorting",11
MEDIUM,Maximum Subarray,71.1,0.5209977771112393,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",10
MEDIUM,3Sum,87.5,0.3707108091763312,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",10
HARD,Trapping Rain Water,85.9,0.6510192881379091,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",10
MEDIUM,Group Anagrams,78.9,0.7092880631912374,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",10
MEDIUM,Rotate Image,100.0,0.7790173789665304,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",9
EASY,Climbing Stairs,87.5,0.535407976724555,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",9
EASY,Merge Sorted Array,81.4,0.5291952052651709,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",9
EASY,Best Time to Buy and Sell Stock,100.0,0.5526330377484631,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",8
MEDIUM,Reverse Integer,65.3,0.3030891688448359,https://leetcode.com/problems/reverse-integer,Math,8
MEDIUM,Add Two Numbers,77.9,0.4622507658063209,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",8
EASY,Remove Duplicates from Sorted Array,62.9,0.6035551112882038,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",7
EASY,Palindrome Number,66.9,0.5922455404045137,https://leetcode.com/problems/palindrome-number,Math,7
HARD,First Missing Positive,59.1,0.4108465766394882,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table",7
EASY,Reverse Linked List,45.3,0.7920656598058967,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",7
MEDIUM,Number of Islands,45.3,0.6231996817686392,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",7
MEDIUM,Letter Combinations of a Phone Number,68.2,0.6385756647080152,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",6
HARD,Reverse Nodes in k-Group,57.3,0.6304374335039493,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion",6
MEDIUM,Spiral Matrix,100.0,0.539398836789508,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",6
EASY,Merge Two Sorted Lists,66.0,0.6684091757223755,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",6
MEDIUM,Search in Rotated Sorted Array,67.1,0.4283722138743466,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search",6
MEDIUM,Longest Palindromic Substring,77.1,0.3584611475412551,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",6
MEDIUM,String to Integer (atoi),46.6,0.1922942349527772,https://leetcode.com/problems/string-to-integer-atoi,String,6
MEDIUM,Jump Game,69.8,0.3947920375919359,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy",6
EASY,Longest Common Prefix,70.8,0.4548305505260665,https://leetcode.com/problems/longest-common-prefix,"String, Trie",6
MEDIUM,LRU Cache,66.8,0.4521462265150519,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",6
HARD,Merge k Sorted Lists,71.4,0.567741907864408,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",6
MEDIUM,Container With Most Water,75.1,0.5778282574410597,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",6
MEDIUM,Jump Game II,59.1,0.4150321496760298,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy",5
MEDIUM,Permutations,50.2,0.8066011364163758,https://leetcode.com/problems/permutations,"Array, Backtracking",5
MEDIUM,Remove Nth Node From End of List,54.8,0.4896103052563428,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers",5
MEDIUM,Search a 2D Matrix,56.1,0.5228956209715457,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix",5
MEDIUM,4Sum,57.6,0.3821902011379304,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting",5
EASY,Linked List Cycle,49.7,0.5257065321652596,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers",5
EASY,Roman to Integer,87.5,0.6486637744329325,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",5
MEDIUM,Generate Parentheses,68.6,0.7713286717803378,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",5
MEDIUM,Word Search,63.6,0.4526692626904781,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix",5
MEDIUM,Kth Largest Element in an Array,87.5,0.6797703802112421,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",5
HARD,Median of Two Sorted Arrays,75.3,0.4381459000864632,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",5
MEDIUM,3Sum Closest,42.7,0.468869600214817,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting",4
MEDIUM,Simplify Path,45.3,0.4785432317744196,https://leetcode.com/problems/simplify-path,"String, Stack",4
MEDIUM,Restore IP Addresses,23.8,0.531583393083398,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking",4
MEDIUM,Minimum Path Sum,44.3,0.664814934885504,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix",4
